country,iso,year,remove,target,yield_curve_slope,credit_gdp_2y_diff,cpi_2y_growth,debt_service_ratio,consumption_growth,investment_2y_diff,public_debt_2y_diff,broad_money_2y_diff,stock_price_2y_growth,current_account_2y_diff,global_yield_curve_slope,global_credit_gdp_2y_diff
Sweden,SWE,1921,0,1,-0.54,8.013942192183931,-16.917293235614284,53.92754724087085,-11.147236414305628,-1.1852100000000005,1.4060790000000019,9.44439148174131,-43.615667568077555,4.788096795318582,0.5445624302307693,4.261809284194628
Sweden,SWE,1927,0,0,0.4466666669999997,-3.7993130721828527,-4.519774022540657,-74.55504028769604,8.238095238095244,-0.7805100000000009,0.06272529999999943,-0.07490841479338428,30.406624112783163,1.6929111777274612,0.14078678706666653,5.900786472486124
Sweden,SWE,1928,0,0,0.5766666659999995,-2.9687657538823298,-0.5847953142657181,-38.5297404847595,3.821102909248797,1.66539,-0.15497110000000092,-1.7854950142558446,39.55972247541932,-0.4715431196732123,0.08958119653333325,3.272024583549998
Sweden,SWE,1929,0,1,-0.23500000000000032,-1.540417781404002,-0.5917159688904383,29.341205343792875,10.690717113946334,0.9252399999999994,-1.3193362999999985,-2.601460942535405,9.561879321557608,0.055167344156516196,-0.3847953216666667,2.2299081348969265
Sweden,SWE,1930,0,1,0.468333334,1.0336208869182073,-4.7058823647069925,-14.472658055672705,10.204935173567552,2.292069999999999,-1.2849346999999982,1.3838009855297817,-16.97174820856465,0.2271828375706655,0.7054294294,4.338276007797852
Sweden,SWE,1946,0,0,0.5116666670000001,2.9456838953809017,0.0,-16.145820803432564,11.181154611811529,1.6785570000000027,-1.9801082000000025,-1.1881490491605362,16.088888328169524,0.4350912352734414,1.4023209814166668,-3.5382253955184533
Sweden,SWE,1947,0,0,0.5233333330000001,0.39784619870721905,3.4334763905437216,-1.048193481913584,33.066860465116264,6.335814000000001,-9.3778246,-9.186001612263528,2.1565862933452307,-11.690623101847144,1.3288639679166667,-0.19793795497440966
Sweden,SWE,1948,0,0,0.5775000000000001,-3.3250361374864976,8.97435897818475,-8.31259034371623,7.430617726051936,-0.6694200000000011,-7.404443399999999,-6.8266087183085356,-15.166835995983375,-1.5906013818934466,1.8330170402857142,0.18843366691659508
Sweden,SWE,1949,0,0,0.5175000000000001,-3.433040648246571,6.224066399816319,-8.582601620616416,-4.533042053522651,-1.2369999999999992,-4.005081700000002,-0.3233120452879157,-14.206240918023138,7.8960643636391765,1.753390749,1.9522673193624054
Sweden,SWE,1950,0,0,0.5666666660000002,1.1638193190045665,1.9607843127916968,4.901403653474112,8.69444444444445,-2.4147846,-3.3593645999999975,2.539026108857312,11.764705882352944,2.5723276465390024,1.8528771480000004,2.291608589151515
